sample_id,ade_m
1123,0.414391
1124,0.421224
1125,0.362118
1126,0.377510
1127,0.390628
1128,0.382664
1129,0.407082
1130,0.438843
1131,0.472514
1132,0.505954
1133,0.730040
1134,0.589826
1135,0.645371
1136,0.606045
1137,0.604017
1138,0.616860
1139,0.406566
1140,0.424232
1141,0.379063
1142,0.334351
1143,0.332452
1144,0.314092
1145,0.501347
1146,0.235986
1147,0.618222
1148,0.666975
1149,0.189005
1150,0.196242
1151,0.188271
1152,0.244287
1153,0.237785
1154,0.268887
1155,0.260583
1156,0.298028
1157,0.300744
1158,0.335555
1159,0.359052
1160,0.401888
1161,0.440193
1162,0.493394
1163,0.538469
1164,0.595648
1165,0.391321
1166,0.677507
1167,0.400905
1168,0.316542
1169,0.454773
1170,0.479006
1171,0.227106
1172,0.226438
1173,0.237687
1174,0.237831
1175,0.235693
1176,0.180821
1177,0.231378
1178,0.243491
1179,0.233633
1180,0.248669
1181,0.241777
1182,0.256717
1183,0.253892
1184,0.269299
1185,0.266949
1186,0.159927
1187,0.161997
1188,0.173279
1189,0.176101
1190,0.189141
1191,0.190797
1192,0.206055
1193,0.207154
1194,0.223438
1195,0.224948
1196,0.241291
1197,0.185416
1198,0.262311
1199,0.202290
1200,0.196740
1201,0.155537
1202,0.197966
1203,0.152787
1204,0.151510
1205,0.156294
1206,0.161889
1207,0.164600
1208,0.176884
1209,0.177885
1210,0.194691
1211,0.193196
1212,0.214603
1213,0.212265
1214,0.236807
1215,0.232269
1216,0.260809
1217,0.253096
1218,0.283220
1219,0.275952
1220,0.307001
1221,0.298433
1222,0.332354
1223,0.321628
1224,0.355304
1225,0.343354
1226,0.379100
1227,0.364829
1228,0.401509
1229,0.386710
1230,0.421234
1231,0.313376
1232,0.342554
1233,0.325995
1234,0.356471
1235,0.343147
1236,0.211795
1237,0.243848
1238,0.272818
1239,0.302713
1240,0.344642
1241,0.359924
1242,0.399271
1243,0.410998
1244,0.442141
1245,0.449228
1246,0.473205
1247,0.437431
1248,0.457553
1249,0.430469
1250,0.451235
1251,0.574454
1252,0.629713
1253,0.563426
1254,0.606883
1255,0.570233
1256,0.634753
1257,0.392107
1258,0.426048
1259,0.501695
1260,0.734417
1261,0.736548
1262,0.716998
1263,0.802924
1264,0.738786
1265,0.544794
1266,0.770534
1267,0.819626
1268,0.861784
1269,0.802920
1270,0.848709
1271,0.821653
1272,0.902401
1273,0.688025
1274,0.753364
1275,0.756247
1276,0.831713
1277,0.858413
1278,0.890959
1279,0.810413
1280,0.865849
1281,0.849055
1282,0.820240
1283,0.724775
1284,0.748170
1285,0.691144
1286,0.737249
1287,0.231420
1288,0.327748
1289,0.334354
1290,0.347824
1291,0.355398
1292,0.247705
1293,0.230198
1294,0.237717
1295,0.226407
1296,0.231361
1297,0.225810
1298,0.228755
1299,0.226900
1300,0.226589
1301,0.230441
1302,0.227355
1303,0.232396
1304,0.227507
1305,0.232518
1306,0.227992
1307,0.234225
1308,0.227685
1309,0.261050
1310,0.250602
1311,0.230768
1312,0.222540
1313,0.225532
1314,0.218383
1315,0.219148
1316,0.210900
1317,0.208630
1318,0.199821
1319,0.197500
1320,0.183425
1321,0.186734
1322,0.180740
1323,0.181424
1324,0.181291
1325,0.181846
1326,0.178019
1327,0.183534
1328,0.178655
1329,0.185263
1330,0.179888
1331,0.187728
1332,0.181410
1333,0.189081
1334,0.186775
1335,0.190053
1336,0.186015
1337,0.191999
1338,0.186536
1339,0.196896
1340,0.191225
1341,0.203059
1342,0.195854
1343,0.205195
1344,0.196689
1345,0.198848
1346,0.192873
1347,0.193645
1348,0.202118
1349,0.218843
1350,0.276852
1351,0.266809
1352,0.279245
