sample_id,ade_m
386,15.920297
387,16.717617
388,15.686989
389,16.527229
390,15.439827
391,16.325775
392,15.179892
393,16.110525
394,14.917390
395,15.888303
396,14.643643
397,15.654829
398,14.374100
399,15.434834
400,14.168925
401,15.250098
402,13.965505
403,15.051865
404,13.774676
405,14.883031
406,13.623158
407,14.753766
408,13.514585
409,14.668955
410,13.452662
411,14.617929
412,13.431237
413,14.605802
414,13.446208
415,14.633695
416,13.513824
417,14.704269
418,13.622116
419,14.805547
420,13.767158
421,14.927324
422,13.936654
423,15.058432
424,14.119682
425,15.193704
426,14.289050
427,15.302743
428,14.442429
429,15.390554
430,14.585307
431,15.467375
432,14.742849
433,15.509571
434,14.779550
435,15.540882
436,14.719435
437,15.416943
438,14.606133
439,15.289698
440,14.486634
441,15.129615
442,14.303703
443,14.931239
444,14.080363
445,14.704595
446,13.815064
447,14.445390
448,13.505458
449,14.136799
450,13.141651
451,13.772429
452,12.719934
453,13.340976
454,12.226218
455,12.848235
456,11.671909
457,12.288722
458,11.065900
459,11.685688
460,10.430939
461,11.057668
462,9.801795
463,10.435948
464,9.182134
465,9.834001
466,8.598011
467,9.251423
468,8.051556
469,8.698615
470,7.584811
471,8.264421
472,7.316379
473,8.030563
474,7.185975
475,7.842571
476,7.048841
477,7.631145
478,6.924918
479,7.470185
480,6.931854
481,7.382010
482,6.922097
483,7.262916
484,6.910896
485,7.198321
486,6.975353
487,7.211468
488,7.089191
489,7.249714
490,7.206012
491,7.308959
492,7.351075
493,7.424976
494,7.545769
495,7.582630
496,7.698404
497,7.768956
498,7.622810
499,7.875471
500,7.587451
501,7.799190
502,7.592898
503,7.761202
504,7.635236
505,7.763066
506,7.712143
507,7.808257
508,7.828224
509,7.898853
510,7.975787
511,8.023394
512,8.153820
513,8.184031
514,8.364879
515,8.383236
516,8.605376
517,8.616838
518,8.882771
519,8.585876
520,9.178722
521,8.573879
522,9.258161
523,8.573963
524,9.272826
525,8.567260
526,9.276970
527,8.549648
528,9.275988
529,8.540189
530,9.288127
531,8.539555
532,9.305914
533,8.552404
534,9.328980
535,8.584505
536,9.376954
537,8.631010
538,9.431865
539,8.672709
540,9.464018
541,8.691767
542,9.467546
543,8.689187
544,9.458742
545,8.687755
546,9.454332
547,8.690516
548,9.461508
549,8.711988
550,9.475808
551,8.744031
552,9.501740
553,8.778967
554,9.568567
555,8.817278
556,9.634572
557,8.862960
558,9.694414
559,8.908607
560,9.736768
561,8.952204
562,9.788102
563,8.996393
564,9.846279
565,9.055071
566,9.916403
567,9.127497
568,9.994188
569,9.221255
570,10.084034
571,9.345504
572,10.184882
573,9.480300
574,10.299884
575,9.632265
576,10.421100
577,9.787992
578,10.560826
579,9.947054
580,10.706594
581,10.124172
582,10.857481
583,10.316302
584,11.021134
585,10.522320
586,11.197199
587,10.739075
588,11.385413
589,10.967505
590,11.583400
591,11.205412
592,11.783198
593,11.445806
594,11.992392
595,11.677640
596,12.187946
597,11.895396
598,12.362423
599,12.096837
600,12.514136
601,12.269855
602,12.644570
603,12.423419
604,12.743807
605,12.547813
606,12.805874
607,12.641154
608,12.842127
609,12.720928
610,12.878556
611,12.803405
612,12.920914
613,12.898565
614,12.968141
615,12.986135
616,12.998928
617,13.061587
618,13.009591
619,13.114289
620,13.000751
621,13.156668
622,12.987828
623,13.200855
624,12.967066
625,13.223961
626,12.922449
627,13.204395
628,12.849035
629,13.143085
630,12.725936
631,13.049154
632,12.545282
633,12.870689
634,12.291919
635,12.666596
636,12.077519
637,12.520424
638,11.891483
639,12.353161
640,11.648861
641,12.109130
642,11.354761
643,11.820614
644,11.056147
645,11.514405
646,10.753367
647,11.196320
648,10.459370
649,10.875543
650,10.197435
651,10.583224
652,9.989216
653,10.338359
654,9.879280
655,10.215137
656,9.951488
657,10.273324
658,10.188436
659,10.466898
660,10.549473
661,10.793297
662,11.067082
663,11.286156
664,11.770676
665,11.941960
666,12.639666
667,12.772999
668,13.690065
669,13.784137
670,14.929780
671,14.920736
672,15.225977
673,15.003480
674,15.531094
675,15.317892
676,16.012068
677,15.816086
678,16.151899
679,18.168493
680,17.652313
681,18.405502
682,18.303297
683,19.487957
684,19.407444
685,21.057699
686,21.016125
687,23.139658
688,22.912661
689,25.483564
690,25.202818
691,28.071520
692,27.950848
